trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
102,False,"{'a': 0.02, 'e': 0.9974245000000002}",30,0,-133.6983352129771,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
103,False,"{'a': 0.02, 'e': 0.9973735000000001}",30,0,-302.76253913126,"{0: 13, 1: 4, 2: 6, 3: 2, 4: 5}",0
104,False,"{'a': 0.02, 'e': 0.9973220000000002}",25,0,-119.65240652246082,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
105,False,"{'a': 0.02, 'e': 0.9972700000000001}",20,0,-169.94282144115914,"{0: 7, 1: 4, 2: 6, 3: 1, 4: 2}",0
106,False,"{'a': 0.02, 'e': 0.9972175000000001}",30,0,-163.71976357467705,"{0: 16, 1: 3, 2: 9, 3: 0, 4: 2}",0
107,False,"{'a': 0.02, 'e': 0.9971645000000001}",20,0,-112.09056176911915,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
108,False,"{'a': 0.02, 'e': 0.9971110000000001}",35,17,-89.33290900238734,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 1}",1
109,False,"{'a': 0.02, 'e': 0.9970570000000001}",25,0,-190.70112453109255,"{0: 11, 1: 5, 2: 6, 3: 0, 4: 3}",0
110,False,"{'a': 0.02, 'e': 0.9970025000000001}",20,0,-45.863547248126395,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
111,False,"{'a': 0.02, 'e': 0.9969475000000001}",25,0,-278.1990811962396,"{0: 11, 1: 0, 2: 7, 3: 3, 4: 4}",0
112,False,"{'a': 0.02, 'e': 0.9968920000000001}",20,0,-194.85003357931288,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
113,False,"{'a': 0.02, 'e': 0.9968360000000002}",20,2,-40.24487142042289,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 0}",1
114,False,"{'a': 0.02, 'e': 0.9967795000000002}",20,0,-113.38746391040047,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
115,False,"{'a': 0.02, 'e': 0.9967225000000002}",25,0,-99.63047541400934,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
116,False,"{'a': 0.02, 'e': 0.9966650000000001}",25,0,-174.23348576391209,"{0: 11, 1: 5, 2: 6, 3: 1, 4: 2}",0
117,False,"{'a': 0.02, 'e': 0.9966070000000001}",20,0,-121.7515950437167,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
118,False,"{'a': 0.02, 'e': 0.9965485000000002}",20,0,-114.3273161755619,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
119,False,"{'a': 0.02, 'e': 0.9964895000000001}",25,0,-132.44804796082133,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
120,False,"{'a': 0.02, 'e': 0.9964300000000001}",25,0,-113.06716878720698,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
121,False,"{'a': 0.02, 'e': 0.9963700000000002}",25,0,-147.8343824938127,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
122,False,"{'a': 0.02, 'e': 0.9963095000000002}",25,0,-134.63263699311534,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
123,False,"{'a': 0.02, 'e': 0.9962485000000002}",25,0,-93.61482782974504,"{0: 15, 1: 6, 2: 2, 3: 1, 4: 1}",0
124,False,"{'a': 0.02, 'e': 0.9961870000000002}",35,0,-140.7076446376078,"{0: 21, 1: 5, 2: 6, 3: 2, 4: 1}",0
125,False,"{'a': 0.02, 'e': 0.9961250000000001}",30,18,-8.360896657750411,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
126,False,"{'a': 0.02, 'e': 0.9960625000000002}",20,0,-80.32740910100695,"{0: 10, 1: 5, 2: 3, 3: 2, 4: 0}",0
127,False,"{'a': 0.02, 'e': 0.9959995000000001}",25,13,-14.851809634330367,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
